DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,9O6FUG01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200515,99CQIC01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200515,99CQIC01,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200515,36974401,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200515,YZ367001,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200515,KKDHUE01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200514,99LTF301,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200514,9NZANX01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200514,YZ0I4K01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200513,YZ255301,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200513,YZ0I4K01,25995,"TELEVISOR 24"" S1300 L1850 HD LED SEMP TCL    "
20200513,9ODLCX01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200513,04730901,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200513,99GKDE01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200512,31168801,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200512,9OK5J801,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200511,29617001,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200510,99MEQB01,25435,TABLET NB732 MINI MS50X PRETO                
20200509,24263801,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200509,9OG4Y201,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200509,99EHR401,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200508,YZ0MA701,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200508,KKDHUE01,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200508,46079001,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200508,46079001,26424,CAIXA AMPLIFICADA MCO-09 MULTI CONNECT       
20200508,99I2TC01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200508,99GKDE01,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200507,9OQUDB01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200507,99BYFE01,26588,BOX LINE OCM 4112 PT ONEAL                   
20200506,9NZMSR01,26545,SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        
20200506,99KKIB01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200506,9OQUDB01,26527,SMARTPHONE LG K40S LMX430 BMW PRETO          
20200505,99CLYM01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200505,20744301,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200502,50009401,24377,RADIO CJ98 ABRALLK LG                        
20200502,43974801,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200502,20744301,25238,TABLET NB711 MS60 DOURADO/BRANCO MULTILASER  
20200430,9OQSWB01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200430,43974801,26582,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   
20200430,9OF0I101,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200430,48598201,25995,"TELEVISOR 24"" S1300 L1850 HD LED SEMP TCL    "
20200429,9O3GFT01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200427,99E9L901,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200427,99NE8A01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200426,69049201,26525,SMARTPHONE LG K12 MAX AZUL                   
20200426,99MEQB01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200425,99BDOF01,26013,SMARTPHONE SAMSUNG GAL A50  A505 64GB BRANCO 
20200425,99GRQK01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200425,9O67DC01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200425,9NXFO201,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200425,99J96G01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200425,46405001,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200423,9OHFYD01,23804,CONJ.SC-AKX700LBK SOM 3X1 PANASONIC          
20200423,YZ0MPT01,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
