DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,25480501,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200515,64706301,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200515,99L8AO01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200515,99C09801,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200515,99CV9G01,25241,PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       
20200515,9OFT2Z01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200515,YZ0FU001,25250,SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    
20200514,9OMU6301,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,45242701,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,9NXETZ01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,99IWO101,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,99EU8701,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,21724601,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,99EOC001,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,99EITL01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,YZ331201,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,YZ224501,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200514,YZ224501,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,YZ243901,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,YZ234301,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,99EAI901,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,9O5EN501,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,59405501,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,99CNC401,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,95770201,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,99KC0C01,25884,CAIXA AMPLIFICADA MCO-07 MULTI CONNECT       
20200513,99FM5Y01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200513,99JV8901,25730,SMARTPHONE SAMSUNG GAL J4 CORE 16GB AZUL     
