DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,19689801,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200515,33653401,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200512,YZ0TYR01,21647,DVD D-15 KARAOKE MONDIAL                     
20200511,UUYERS01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200508,04536701,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200508,04536701,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200508,04536701,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200507,YZ0WOP01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200506,YZ0VPF01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200505,YZ0TYR01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200504,04536701,26525,SMARTPHONE LG K12 MAX AZUL                   
20200504,78299701,26581,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX
20200504,9O1J8001,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200504,9O1J8001,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200430,9OQ6TW01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200430,96459901,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200428,9O1XZ201,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200423,9OQ6TW01,26524,SMARTPHONE LG K12 MAX PRETO                  
20200413,14481701,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200413,14481701,26606,SMARTPHONE LG K50S 32GB AZUL                 
20200323,42593401,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200316,99D9VU01,15713,SUPORTE PRETO TV LCD 10 A 55 BR ART SBRP130  
20200314,99G0UK01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200314,99G0UK01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200311,16912101,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200311,9NZCFG01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200309,99EYHZ01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200306,42593401,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200306,9OO95V01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200306,9OO95V01,21647,DVD D-15 KARAOKE MONDIAL                     
20200306,YZ09H101,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200304,05305701,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200304,11360801,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200303,11873101,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200303,11873101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200303,99D9VU01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200228,9OQX2201,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200228,11147001,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200228,11147001,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200227,11873101,20966,PEN DRIVE 32GB PD589 TWIST PRETO             
20200227,11487401,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200226,78299701,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200226,78299701,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200226,YYZ5VL01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200226,YYZ5VL01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
