DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,13514801,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,02122101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,01952001,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,01952001,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200515,03108101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,YYYIPE01,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200515,YYYIPE01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,YZ386201,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200514,9NY7KH01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,05259701,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200514,9OPZJ601,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200514,9O62RB01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200514,96803101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200514,999YAA01,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200514,999YAA01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,YZ228101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,YZ228101,26327,"TELEVISOR SMART 55"" 55P8M 4K UHD BLT SEMP TCL"
20200513,10008101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,9O5O6D01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,999H6G01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200513,15673901,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,99BN2E01,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200513,99BN2E01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,9OMKE301,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,99E9J501,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200513,01587401,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200512,03559401,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200512,47220601,25189,"TELEVISOR SMART 55"" 4K QN55Q6FNA SAMSUNG     "
