DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,9O0BYZ01,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200515,99CI7Z01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200514,99LP3B01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200514,38167901,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200514,99HZHO01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200514,9O03ZV01,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200514,9O03ZV01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200513,90305501,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200513,99ELW701,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200512,37222101,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200512,9OERZV01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200512,99FJIH01,26013,SMARTPHONE SAMSUNG GAL A50  A505 64GB BRANCO 
20200511,99I18601,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200511,9OP6GG01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200511,49748801,26432,AUTO RADIO AR-06 PRETO                       
20200511,67932901,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200509,9NYT6E01,26545,SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        
20200509,19159901,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200509,99CLHL01,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200508,000RL101,26585,SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL 
20200508,80327301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200508,80327301,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200507,91552901,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200507,9OITDV01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200507,99AW6701,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200507,99IWSE01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200507,9NXD5U01,25871,SMARTPHONE LG K12 PLUS PRETO                 
20200507,99EKQ001,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200506,YYZ4BV01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200506,9OIH0L01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200506,99DZE601,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200506,08476901,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200506,08476901,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200506,30039101,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200506,52086201,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200505,67144501,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200505,99F1D301,26326,"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL"
20200505,31125101,26527,SMARTPHONE LG K40S LMX430 BMW PRETO          
20200505,47659601,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200505,47659601,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200505,99DZUC01,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200504,9OJ9WR01,26573,SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       
20200503,99CK8301,26606,SMARTPHONE LG K50S 32GB AZUL                 
20200503,99K34V01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200430,9ORBX701,26387,SMARTPHONE LG K8 PLUS PLATINUM               
20200430,99DB5O01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200429,99DK3201,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200428,9O170I01,22506,ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN        
20200428,99E65401,25583,SMARTPHONE LG K11 PLUS DB AZUL               
20200427,99E7OL01,25679,SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX 
20200425,99BAH101,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200425,12079801,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200425,9O9R9G01,25173,SMARTPHONE LG K9 TV LM-X210BMW INDIGO        
20200424,93132601,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200424,93132601,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200424,37363801,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
